text_index,medication,rate,comment
628,Stelara (ustekinumab) for Psoriasis,10,"This has been great for me.  I've struggled with psoriasis for 16 years, then this last year I developed psoriatic arthritis too.  I was given Stelara after much struggle with the insurance company.  The 45 mg dose helped and did more for my psoriasis than my arthritis but the 90mg dose has changed everything.  My hand and my feet are almost completely free of psoriasis and my arthritis is nothing like it was this time last year.  Crazy expensive but it has changed my life."
629,Stelara (ustekinumab) for Psoriasis,1,"Do not use Stelara. I wish I hadn't. I have had nothing but stomach/immune system issues since taking Stelara about 1 year ago. It did reduce the psoriasis but at a cost that no one should pay. I have several scans and an endoscopy only to have the gastro intestinal specialist tell me that my issues appear to be related to the Stelara and that my immune system has potentially been compromised indefinitely.
STAY AWAY from all biological drugs, they are not safe in my opinion."
630,Stelara (ustekinumab) for Psoriasis,10,"Stelara completely cleared 90% BSA, including severe palmar plantar pustular psoriasis within 52 days of initiating treatment. Side effects included extreme fatigue lasting approximately 72 hours after each application. Feeling ""sunburned"" was noted for several days after initial fatigue."
631,Stelara (ustekinumab) for Psoriasis,9,28 year old male.. Been on stelara for 2.5 months went from 70% covered to almost 0% it had worked amazingly... Just a question does any pay know how long it takes to start seeing some of the red go away that was in the really bad spots? Thanks all and good luck
632,Stelara (ustekinumab) for Psoriasis,10,I have suffered from severe plaque psoriasis for ten years. I have taken every biologic medicine that is available and Stelara has been by far the BEST. It has totally changed my life the past two years and the GOOD news is my dermatologist said it is not one of the medicines that eventually stops working like the others. If it clears you and you are healthy with no major side effects its possible to live a psoriasis free life for years! The side effects of many biologics were harsh especially Remicade but the last two years on Stelara I have only noticed a bit of fatigue and only one upper respiratory infection.
633,Stelara (ustekinumab) for Psoriasis,4,"Psoriasis diagnosis: I received my first injection the end of December 2009 and I saw an immediate difference within the first two weeks. The second injection was due; however, I was ill with an upper respiratory virus in which my Doctor indicated to wait until it was resolved. I was about 1.5 weeks late with the 2nd injection. I was flared and received the 2nd injection with itching down 50% and cleared approximately 40%. Two weeks after the 2nd injection, I developed moderate arthritis symptoms in my shoulder, right knee and my finger joints. It was time for the 3rd injection after waiting 3 months. I remained at the 40% clearing. I discontinued this medicine due to joint issues and flaring increase by the end of 3rd month."
634,For Crohn's Disease,10,"Wow. I have tried every medication from 6mp methotrexate humira infliximab vedolizumab etc.  all failed in the end and my latest try vedolizumab didn't work at all.
I was in a flare for 8 months my Consultant said the only option left was to remove my colon.  I have never been in so much pain and weight loss.  Then I got a call from the hospital saying the drug company was willing to offer me ustekinumab. It's not licensed in the UK yet for crohns so I wasn't sure.
But omg within 9 days of treatment  I've never felt so good .  I must admit in those 9 days when I never felt anything I thought it wasn't going to work then boom I woke up one day and felt amazing.   If you get offered this amazing drug just give it time and it will work wonders"
635,Stelara (ustekinumab) for Psoriasis,10,"Had psoriasis for 14 years started in palm of my hands which was really bad for 8 years then my legs, past three years spread all over 90%, no sleep, severe itcing at night, skin shred everyday from room to room embarrassed to go any where wore clothing all over even gloves  I have not even visited family I was depressed I had from puva, uv treatment, tar cream endless of cream and ointment all failed , December 4th 2015 had my first shot of stelara I  must say they have saved my life, no more bleeding, no shredding I still have a long way to go but my skin show so much improvement. thank you I feel so much better This is a miracle drug for all of us who suffer from p 

Thank you

Annette"
636,Stelara (ustekinumab) for Ulcerative Colitis,10,"Ok, I have done Remicade, Humira, Imuran, prednisone, etc. Stelara took a few months to work and I had to be moved from every 8 weeks to 6 weeks, but once I moved to 6 weeks. I went into complete remission of my UC and HORRIFIC joint pain. I have currently been in remission and prednisone free for 8 months"
637,Stelara (ustekinumab) for Psoriasis,10,"At the start, after 2 injections, I was 99.5% cured, then the NHS decided to stop my treatment on the retirement of my Dr , in 5 weeks, the Psoriosis returned, worse than it had ever been, after 8 weeks still no treatment forth coming, my whole body was burning red hot & 75% scaley,  had an injection 3 months ago, 99.9% of my body had cleared of Psoriosis in 2 months, I am due my next one next week, the NHS is holding it back again, I am dreading what is going to happen to me & my body if i don't get the next injection."
638,Stelara (ustekinumab) for Psoriasis,8,"I have been on stelara for over 1 year now. Had psoriasis on the palms of my hands and feet very badly. It has worked very well and i only get ocassional little flares now as oposed to not being able to walk. Side effects have been acceptable, noticed I get sick more easily and am prone to migraines when first taking a shot. Overall I would recommend Stelara for someone who is suffering."
639,Stelara (ustekinumab) for Crohn's Disease,2,"No side effects (only fatigue), but not working very well to control Crohn's flare-up.  Don't use this if you have severe active flare, you will not be able to control your disease. I'm switching to anti-tnf."
640,Stelara (ustekinumab) for Psoriasis,9,"This medication just makes me ask the question WHY PEOPLE STILL TAKE METHOTREXATE AND 6-MP FOR PSORIASIS? I've been on this medication for about a year now and it's been a life saver. It took me from 80% body coverage (very thick plaques under all hair follicles, eyebrows would crack and bleed, just horrible) to just having a few little spots within 8 weeks. If your doctor is going give you a TNF blocker, tell him you want Stelara. So much more effective, convenient, and with fewer side effects. It's now classified by my insurance as the same coverage as Enbrel for psoriasis, and is even covered to a greater degree than Humira. In turn, you may be able to get it as a first line biologic if you request it. "
641,Stelara (ustekinumab) for Psoriatic Arthritis,10,AMAZING!!!!! Stelara saved my life. it worked within my first injection and by the next month I was 90% clear. I just got my 12 weeks follow up and im 100% clear still taking my injection but clear I was covered head to toe 3 months ago.
642,Stelara (ustekinumab) for Crohn's Disease,9,Stelara was a 1 star for the first 24 weeks. The waiting period was ridiculous. I just did my third at home injection so today puts my 32 weeks in I did not see any results until about 24 weeks on the medication. Stelara works  for crohn's you just have to give it time to work. Now we are starting to work on the dosing schedule to prevent flare ups around dosage time.
643,Stelara (ustekinumab) for Psoriasis,10,"I got my first Plaque psoriasis patch on my scalp in year 2000. Slowly it increased all over the scalp and then different parts of the body. I was controlling it by applying various steroid creams, lotions and moisturizers, but slowly got immune to most of them and not giving any relief. My doctor prescribed my few different drugs one after another. All of them were giving me too much trouble due to adverse side effects. Finally he prescribed me Stelara. I took first two shots and going for the third tomorrow (5th March 20). All my scalp got cleared two weeks after the first injection and most of the other plaques on other parts of the body are getting cleared now. At least no flaking from the spots.  Though I still have some joint pains especially during early morning."
644,Stelara (ustekinumab) for Psoriatic Arthritis,8,I've had psoriasis for 48yrs. I had my 3rd shot a few weeks ago. My psoriasis have cleared up 85% and helping Arthritis. I had tried everything you could think of. I'm glad my Dermatologist suggested this to me.
645,Stelara (ustekinumab) for Psoriasis,,"Dear all. I am 49 yrs old (M) just start the treatment. I just would like to let you know after a week my affected skin spectacularly improved. Improved mean I do not have any peeling areas…:-) 
I will get another injection for next month, and after every quarter. I am starting to believe again it will works after many other useless  alternative treatment.. 
Although I do not know the side effects .. I'm a little frightened of what I read .. but I am so happy :-)"
646,Stelara (ustekinumab) for Psoriasis,10,"I was 65 when I got psoriasis, tried everything possible until I told my derm. I have to have something. I have received 2 inj. & feel it has pretty much saved my life (not really) but I'm so much more comfortable. However I retired in Jan. & my ins. changed to Humana which will not cover Stelara, so at this time I am stressing (worst thing you can do) about how I can continue this inj. without having to pay the enormous price, so I am researching everything possible...long story short I have definitely benefited from the Stelara..."
647,Stelara (ustekinumab) for Psoriasis,7,I have Crohn's disease and was put on remicade to treat it and then I developed medical induced psoriasis it's so bad and painful I can't walk some days and I have a hard time opening things like doors. All of hair fell out and be a 24 year old girl I was devastated. I was put on stelara at an abnormally high dose of 90mg 1 a month for a few months now I'm at 6 weeks the goal is to get me to 8 weeks stelara has made an improvement my hair has started to grow back in and right after the shot I can walk and my hands start to heal but within a couple of weeks I back slide again but stelara has really helped me not lose my mind completely if I was a normal psoriasis person maybe it would be better.
648,For Crohn's Disease,10,"I was diagnosed with crohn’s disease at age 22; I am currently 34. For 10 years my disease was unmanageable, and I suffered a great deal. I have tried every biologic, and every Crohn’s medication with no luck. Two years ago I began using Stelara, and this drug has saved my life and offered me a shot at remission. I did still flare for the first six months, but I have basically achieved a full remission. During my remission on Stelara  I was able to carry to term my first pregnancy; a true miracle that wouldn’t have been possible without this medication.  I decided to withhold my injection in the third trimester, and postpartum so I could breast feed. I am one and a half months postpartum, and I am developing a flare up so I will resume my injection. Me and baby are both healthy so far. I wanted to share my story because I know that I wasn’t able to find a similar account when I was looking for answers."
649,Stelara (ustekinumab) for Psoriasis,9,"18 yr old college student here! I was diagnosed with psoriasis a little over a year ago. I got my wisdom teeth out in March of 2018, and after 3 weeks, 85% of my body was covered in severe psoriasis. I used diet change, topical ointments and creams, phototherapy, cyclosporine, Humira, and Stelara. I built up autoantibodies to Humira so I had to switch medications and who was the lucky winner??! You guessed it. STELARA! I have been experiencing joint pain recently but my skin is 99% clear now after taking my first dose of Stelara this January. I took my third dose 3 days ago and my life has completely changed. I can actually focus on my studies while feeling healthy and happy in my own skin.

Thank you, Stelara. You are giving me the chance to live out my college years to their fullest. 

I gave it a 9/10 rating because it was a NIGHTMARE trying to get my Stelara ordered to the package center at my college dorms."
650,Stelara (ustekinumab) for Psoriatic Arthritis,9,"Had a mild case of Psoriasis - just one patch and some dandruff scales. Had Psoriatic arthritis for about two years -  morning stiffness, swollen small joints and knee pains - I endured these for almost two years. 

On Doctor's advice started Stelara. After the started dosage, she also prescribed Remicaid for a few weeks. However, it took almost a week for my Pharmacy to fill Remicaid.

Within 3-4 days of taking this medicine, I felt better slightly and stopped my daily Celebrex. And when my Pharmacy called me to pick-up Remicaid, I said I don't need it! Within two weeks I could feel better enough to stop Celebrex. 

I took my second shot about 6 weeks ago. At this point my joint pains are 90% gone. I am almost back to normal. I am able to wear my wedding ring that I removed before finger stared swelling.

I am back to going to Gym - build my muscles back up. Life is good!

Bobby"
651,Stelara (ustekinumab) for Psoriasis,10,"I am 38 and have had psoriasis all my life. I have used everything I could get my hands on and only had brief relief over the years. I started Stelara in March 2011 and 3 weeks after my first shot I was 100% clear. I just took my 3rd shot and I am still 100% clear. If anyone has the facility to try this they should, this medicine really works. Thanks to the creators of Stelara, I wish I had started it before. I go everywhere I possible can without a shirt now..yeah!"
652,Stelara (ustekinumab) for Psoriasis,10,"What a life changer! I started Stelara 2 months ago.  It took about a month for me to start seeing some relief and now at the end of my second month, no more itching, redness,  and almost all of the psoriasis is gone. I only wish I had started this sooner! Make sure you check out the patient assistance card that can be used in conjunction with your medical insurance."
653,Stelara (ustekinumab) for Psoriasis,1,"I just lost my best friend to Stelara, yes it cleared her psoriasis up but she got severe lung problems last year and was put in ICU in Feb 2108  and then started having strokes 5 wks ago. We lost her Saturday night. She started seeing different symptoms a year ago.  I told her  and she said oh no its not the shot. I think it was - this stuff is poison"
654,Stelara (ustekinumab) for Psoriasis,9,I had psoriasis really bad that covered 80 percent of my body. Tried creams ointments and humira which helped clear some of it but then I tried Stelara for past two years and am now 99% clear with no side effects!
655,Stelara (ustekinumab) for Psoriatic Arthritis,8,I have had psoriatic arthritis for 20 years. Mostly attempting to control the arthritis which at times has been debilitating to say the least. For the first year my skin was clear after the loading doses. I wore shorts and went swimming without fear! And while I'm still very happy with stelara I've noticed it doesn't control my arthritis as well (still manageable) and I have small patches beginning to appear. I'm well under the 200lb weight for the higher dose.
656,Stelara (ustekinumab) for Psoriatic Arthritis,2,"I have had psoriatic arthritis for the past 12 years every treatment failed on me including photo therapy, humira, enbrel, etc.  I was covered approximately 70% and completely covered on my face and head.  I tried stelara and after 6 months got decent clearance I could see my face again.  I am at one year now and at month 10 it just failed hard,  I right back where I started.  I can just shake my head, hair, and face over a sink and completely cover it scales, chunks, paste, and slough from my psoriasis.  I very frustrated .  No one should have to live through this.  I haven't been on a date in over a decade.  No one even talks to me, I am in complete isolation. I hate stelara because it gave me hope"
657,Stelara (ustekinumab) for Psoriasis,,"I have psoriatic arthritis. I took my first shot on 5/26/10 and so far I am really pleased with the results. I take my second shot on 6/22/10. I was on humira for 10 months. Then it quit working. My body was 80% covered and I was miserable. Now my body is almost back to normal. The only side effect I had was insomnia and was tired for the first 10 days, then it went away. Hope it continues to work. Will keep you up to date after this shot."
658,Stelara (ustekinumab) for Psoriasis,9,"27 year old female. Suffered with plaque psoriasis since age 12 (15 years) just woke up covered from head to toe one morning. Tried every treatment avail in Canada- nothing worked. Parents went on a year hunt for a cure the first year I had psoriasis,  but turned up with nothing that remotely worked.
Two years ago I was prescribed Stelara , best decision I ever made. Price is insanely high but with the right teams amazing coverage became available. So far no noticeable side effects other than my common cold lasting longer than usual. Blood work and tests always come out fine.
Only problem I have had while on this medication is I was diagnosed with strep throat and because of that my psoriasis came back very drastically and over night."
659,Stelara (ustekinumab) for Psoriasis,7,I had never had psoriasis until age 50 it came on all of a sudden pretty much all over my body and nothing worked to get rid of it. I started the Stelara injections 10-7-13 and was amazed at how it cleared. I also was using the vitamin d cream at night. Just had my second injection 11-7-13 yet this time it did not work near as well.  The psoriasis is back and getting as bad as it was prior to the first shot.  It's a bummer because the next injection won't be for 3 months. Just so happens had my yearly blood work 10-14 and my cholesterol was 280/170 it has never been that high. I am also a breast cancer survivor and remembered the first time to have them inject my right arm as I had lymph nodes removed from the left side wonder if thatmatter
660,Stelara (ustekinumab) for Psoriasis,10,Suffered throughout my entire childhood with severe scalp and guttate psoriasis with even the strongest topical steroids having little to no effect. Stelara cleared my skin in a month and I've had zero side effects and only minor flare ups when I get stressed out with college.
661,Stelara (ustekinumab) for Psoriasis,9,"45 years with psoriasis. Tried everything - no luck.  On Stelara for three years now. WONDERFUL experience. Only side effect is I am always tired, but I can live with that as I no longer have ANY symptoms.  Wonderful medicine but VERY expensive. This would be the LAST medicine I would give up if I had to give up my meds."
662,Stelara (ustekinumab) for Psoriasis,1,"I took Stelara shots in June and July 2018. I am 64 years old & psoriasis for 13 years. 
In Hospital end of July with pulmonary embolisms both lungs & blockage. They thought I was going to die. 
It was not worth trying and I believe that physicians should evaluate better the age and shape the patient is in before prescribing. 
I take full responsibility for taking the drug but I am not a physician."
663,Stelara (ustekinumab) for Psoriasis,8,"I have had psoriasis since 1978. I had tried just about everything when my dermatologist suggested I take part in the study for a new drug, eventually called Stalara. It worked about 80% and left only two patches of itchy plaque - It has not increased (or decreased) since then. I went off of it (would not sign the papers to put my information in the cloud) in June of last year (2015). 

Surprisingly, it has not returned any worse in the 7 months I have been off of the drug. The two patches remain the same and all other body parts remain free of plaque. I'm feeling pretty good about that - I hope it continues."
664,Stelara (ustekinumab) for Psoriasis,9,"I've had moderate Psoriasis for the last 50 years! I'm 60 year old male and the first red patch of Psoriasis  appeared on my chest when I was around 10. 

Since then I have used mainly topical ointments and creams for patches on my legs, back, elbows and scalp with little relief. In fact, as I got older, my Psoriasis became rather worse.

In 2012, I started using Humira which helped with about a maximum 75% success rate in clearing the plaques. It never totally cleared my Psoriasis. But - it stopped its effectiveness around 2016. 
I have now been on Stelara for the past 2 years and am about 99.5% clear! I really like it as I have not been this Psoriasis free.......well..., ever!

Unfortunately, the Psoriasis has also taken its toll on my joints and I suffer from arthritis pretty much everywhere. So far, I am not sure if Stelara has helped with that, but I'm happy it has helped with the plaque Psoriasis.
Hey, life is only hard the first 100 years....so let's move it along."
665,Stelara (ustekinumab) for Psoriasis,1,"After the load Stelara shots and before the first maintenance dose my psoriasis cleared up almost completely,  then it stopped working,  I now also  feel lethargic and am depressed,  crying for no reason, I will be trying something else more targeted for psoriasis,  there have been a lot of new products coming out now, some of them are just for psoriasis.  I am glad I gave it a try though"
666,Stelara (ustekinumab) for Psoriasis,10,"I had my first Stelara injection 2 months ago (and a booster 30 days ago). The difference is amazing, I have no more flakes, the redness is during to pink. I can wear shorts in public and not be embarrassed. NO side effects at all! This is a fantastic drug."
667,Stelara (ustekinumab) for Psoriasis,9,I'm 38 ive been on stelara for 6 years and I was 80 % covered. within 6 months I was 95% clear. the only draw back is it doesn't work on my scalp and my fatigue over the years has gotten worse. some days I don't even want to move.
668,Stelara (ustekinumab) for Psoriasis,8,"I'm 26 and was diagnosed with Psoriasis about 5 yrs ago. I have Psorisis ALL over. I've tried everything from topical ointments  to PUVA light treatments. The lights helped externally but with Psoriasis, we need help from the inside out. I've tried Enbrel and Humira. I've been on a waiting list for Stelara. I FINALLY have recieved my first shot last week and this is AMAZING.  Within this one week, all of the flakiness is gone and my patches are reduced to a soft pink flesh color and are no longer warm to the touch.  I can tell it's slowly working and cannot wait for my next shot. The only side effect that hit me was an upper respiratory infection which included coughing and sore throat and only lasted a week. "
669,Stelara (ustekinumab) for Psoriatic Arthritis,8,Stelara has lowered all the inflammatory  markers in my bloods to within a normal range. This however doesn't repair damage already done. I am however suffering much less of burning in the joints. The aching is still pretty much the same. I was previously on Embrel and have been on Stelara for only two months so a way to go yet. SO far so good.
670,Stelara (ustekinumab) for Plaque Psoriasis,10,I suddenly had Plaque Psoriasis show up at age 56 ( male ) with no general history of skin conditions before . Within one year the Plaque Psoriasis had expanded to 40% of my body . Within 1 month of the first injections I was on the way to clear skin . I have been clear skin for the past 4 years now . No side effects that I am aware off. For me it has been like MAGIC -- amazing .
671,Stelara (ustekinumab) for Psoriasis,10,"Unbelievable that this can be true! My last escalations were particularly ugly and all over my body. I was getting very depressed  as the other treatments did nothing to help. Winter was ending and you can't cover up forever. I have had this  heinous disease for 35 years.  

I am now on this for 9 months (1st shot, booster shot, then 2 more).  I am 100% cleared!!!!  Beaches, swimming pools, short sleeves!!!  I pray it keeps working : )"
672,Stelara (ustekinumab) for Psoriatic Arthritis,10,"My psoriasis was so bad. Angry red, layers upon layers of scaling on both legs, elbows, even the groin area sometimes. I've been on so many medications for so many years I've lost count. Stelara is a miracle drug for me. After the first shot, within those first 30 days my scaling was 99.9% GONE!! It's been over a week since the second shot and my skin looks amazing. I can't say enough good things about this medication. I don't have to wear jeans and long sleeves in 90 degrees heat this summer! Thank you so much Stelara!"
673,Stelara (ustekinumab) for Psoriasis,10,"I'm 61 and have had psoriasis since I was 16.  Of all the medicines I have tried (MTX, Enbrel, Raptive, Cyclosporine, Humira) this is the best in terms of effectiveness and side affects.  I'm about 90% clear and have no side effects."
674,Stelara (ustekinumab) for Psoriasis,9,"After my first initial starter dose my my affected areas (back, rear end, hips, front legs, hair line, and behind the ears) were almost totally clear. After my next shot to present my skin is totally clear. I only have one issue (possible side effect), raising LDL (bad) cholesterol. My Dr. did not think it was the cause. Had a regular liver enzyme test ordered by Dr. I used another facility for the labs as I have no insurance. This test came with a full liver profile and my total cholesterol was 350. It's never been over 220 and that's when I drank, smoked, overweight, and ate terrible. All of those are now null. We tested it again a week later and it was 344. I waited 2.5 months and retested and it was 285. Nothing has changed, except time."
675,Stelara (ustekinumab) for Crohn's Disease,1,"I've had Crohn's for 30 years.  Tried Remicade, Humira, now Stelara.  The only thing it's doing is worsening my diarrhea.  Not helping the Crohn's, but day of treatment and for weeks after, diarrhea is greatly increased.  No other effects.  Would be a great medication for those with chronic constipation!"
676,Stelara (ustekinumab) for Psoriasis,8,"Stelara very effective, have been on it for 3 years and can lengthen time between injections i.e. 16 weeks without too much flare up. Have experienced chronic rhinitis and symptoms of depression as side effects."
677,Stelara (ustekinumab) for Psoriasis,10,"I have had horrible psoriasis since the age of 20. Even as a kid I had a flakey scalp that was embarrassing. Stelara for me feels like a miracle. I have been on Enbrel, cyclosporine, and I've used all of the steroids. I've used the Pagano diet which is very difficult. Stelara is great. When I combined UVB lights at the doctors office with Stelara my skin cleared up 100 percent in about 3 and a half weeks. My scalp even cleared up. This is the only medicine that works that I've used. The blood tests to stay on the medication are expensive and sadly many insurance companies won't pay for this. I hope that changes. I was so sick I could not work and got Stelara through charity for 1 year. It is amazing. "
678,Stelara (ustekinumab) for Psoriasis,9,I have both psoriasis and psoriatic arthritis. I have been dealing with psoriasis for over 20yrs all over my body and head ...always embarrassed and having to wear long sleeved shirts. Those of you that are still looking for something Stelara is worth trying. I love it after trying several other medications this is so far the best. I have found and it helps with both. I haven't had any side effects either. I have a 3yr old and I can finally take him to the park alone.
679,Stelara (ustekinumab) for Psoriatic Arthritis,9,"Severe psoriasis for 36 years. Progressed into psoriatic arthritis. 90% of body covered. Stelara has drastically changed the way I feel and look. 85% clear and arthritis has subsided. My quality of life is something I cannot put into words. That disease was ravishing my body, first time in 35 years I feel better mentally and physically. Truly amazing."
680,Stelara (ustekinumab) for Psoriasis,10,I have had memory problems for several years. I have been on the same medication for mental issues at least 2 years.  I received my 1st shot of Stelara and it has been 3 weeks ago. I just wondered if this medication has been tested for other uses besides psoriasis? My memory is slowly coming back to me. And I would like to know if this could be due to Stelara? I Love this change in me and I think it's from the Stelara not to mention my psoriasis is great- in the week all my white scales went away.  Thanks
681,Stelara (ustekinumab) for Psoriatic Arthritis,4,Hello I am 59 year old women who has psoriatic arthritis for over 7 years now. I was on remecade and decided to try something else so my RMD put me on stelara. So here's the thing although my psoriasis cleared up my arthritis is bad I've only been on it for 2 months so I am giving it more of a chance. Anyone else here have arthritis and on stelara? Thoughts please and thank you
682,Stelara (ustekinumab) for Psoriasis,,"I am 27 years old and have psoriasis since 15. I have tried all ointments, sunbeds and every tablet.... Yes every tablet. I have just been put on stelara and had my first injection on Friday. Injection was pain free and very quick. I can honestly say I have had.no reductions in the psoriasis but it seems that my itching has completely stopped. I find my self scratching out of habit and I don't need to. Fingers crossed for this because if this doesn't work I don't no what next :-("
683,Stelara (ustekinumab) for Psoriasis,9,"Hello everyone and warm thanks for all extremely helpful comments!
I received my second Stellar injection about one month ago, an phased out the cyclosporine one week ago. The skin is incredibly clear of spots (since 25 years it has not been this good), but as a change, an almost intolerable itching started. 

a) Would anyone have experience how to calm down the itching? 

Taking sodium bicarbonate with water seems to help a bit, but I am still scratching in my sleep.  I have allergies, and thought that maybe antihistamine could work.

Thanks in advance for any hints you may have!"
684,Stelara (ustekinumab) for Psoriasis,10,"I just started  Stelara 5 weeks ago. It is amazing! I had plaque psoriasis all over my body (50%). 98% of the Psoriasis is GONE. I only have some small spots left on my elbows and knees where it was really thick and crusted. I don't have dandruff anymore. I can wear shorts and short shirts now. This is awesome! So far, no side effects.  I am so grateful to the folks who made Stelara. Check with your insurance. I was thinking it would be too expensive, but when I checked, my insurance covered most of it. You have to work with Specialty Pharmacies to get it in my experience. Most Pharmacies have them, but there is usually only 1 location where it is."
685,Tysabri (natalizumab) for Multiple Sclerosis,10,"I have had 81 infusions. I have tried all other injectable multiple sclerosis medications without much success. Although the PML is in the back of my mind, I keep plugging away every month. I have a wife and four children and a safety sensitive job. I function just like any other 43 year old man (playing golf, mowing my own yard, etc). I really don't think it would be possible without Tysabri. For me and my family, we feel that it is worth the risk. I am JC virus positive also."
686,Tysabri (natalizumab) for Multiple Sclerosis,6,"Avonex stopped working for my mom around 2006, and her quality of life was quickly deteriorating. She was using a walker and her neurologist suggested Tysabri. After discussing the severe and rare side effects, such as Progressive Multifocal Leukoencephalopathy (PML), she and my stepfather decided to go for it. She took Tysabri for just over 4 years before we started noticing signs of decline in speech and motor function. In January 2011, it was confirmed she had PML. The doctors told us she had 3 weeks to 3 months, but we had her for 8 months (and one more birthday) before she passed away in October 2011 at the age of 53. Tysabri gave her a better quality of life for longer than she could have hoped without it."
687,Tysabri (natalizumab) for Multiple Sclerosis,1,"My daughter took Tysabri and got both IRIS and PML. She never took any other immune suppressant drugs.
Tysabri gave her aphasia, delusions leading to hallucinations, intermittent blindness, non-stop epilepsy, then grand mals, inability to digest food, projectile vomiting, muscular degeneration, blood brain clots and a stroke causing paralysis of her right side. After this disastrous suffering for over a year, her death."
688,Tysabri (natalizumab) for Multiple Sclerosis,10,"I was diagnosed with MS in 96 and was put on Betaseron.  Moved on from that to Avonex, Rebif, Copaxone, and Avonex again.  In 2010, I experienced a severe flare up involving complete paralysis on my right side.  Obviously the Avonex was doing nothing and my neurologist suggested Tysabri.   At that point, I really didn't care about the side effects.  All I wanted was some semblance of my life back.  As it turned out, Tysabri is and was a miracle drug.  I regained the use of my right side, was able to return to work as a state trooper, and eventually retire."
689,Tysabri (natalizumab) for Multiple Sclerosis,10,"I was 41 when I was diagnosed in 4/98 and took Copaxone until 9/99. I was one of the lab rats in the original Tysabri trials.  Then the FDA approved it and removed from the market due to PML.  My MS came with a back with a vengeance & I was still on Copaxone.  I got back on Tysabri in 4/07. I am almost 56 now and still working full time. I still go to the gym relatively regularly and lead a good life. If your immune system is okay other than MS, have not taken any nasty immune suppressing medicines and if they test you and you do not have the JC virus its a no brainer.  If you have the JC virus its more complicated.  My MS is still not easy but its my best option. Look at the stats vs. other options.  Good Luck!"
690,Tysabri (natalizumab) for Multiple Sclerosis,10,"Diagnosed 2010 (age 24), monthly flares for nearly a year. Luckily after every relapse I bounced back to normal with no lasting symptoms however the constant hospitalization wrecked havoc with my life. Copaxone and Avonex didn't work as well, JC negative so was put onto Tysabri 2 years ago without a single relapse. Back to pre-diagnosis feeling. Best medicine ever."
691,Tysabri (natalizumab) for Multiple Sclerosis,10,"I was first diagnosed with MS in 2006. I have tried Rebif, Betaseron, Copaxone, Avonex & lastly Cytoxen (which is chemo). I am now 47. I have been on Tysabri for 6 years. Tysabri has quite literally saved my life. My peripheral vision is gone due to prior MS flares, but my flares are non-existent now. Since I have been on the drug so long my greatest side effect of infusion seems to be fatigue for a day or 2 after infusion. During infusion I am also given IV Benadryl & anti-nausea medication. 
My MRI's have come back clean...no demyelination. If previous MRI's and spinal taps did not show positive proof of disease I would like to believe I was cured.
I do have neuropathy. I don't walk as fast as most and I jumble words. I am JC NEG"
692,Tysabri (natalizumab) for Multiple Sclerosis,1,"I took Tysabri for about 4 1/2 years and had no problem.  My biggest complaint was that it made my hair thin and fall out.  But, my feelings have completely changed.  The reason I originally went off of Tysabri was to try to have a baby.  Now that I know what I know, I would have stopped using Tysabri as soon as possible.  I am 35 years old and have to have a total hip replacement because of taking Tysabri.  A side effect of Tysabri is Avascular necrosis, which killed the top of my femor bone.  So, now I have to have a total hip replacement. This is absolutely horrible for me because I am such an active person who loves working out.  I will have a hard time going back on any drug after this."
693,Tysabri (natalizumab) for Multiple Sclerosis,10,"I used to have about 3 MS flare ups and year, and had to be on steroids all the time, while taking other MS shots, that made me very sick. I have not had a single flare up, or taken any steroids or any other meds since starting Tysabri almost 5 years ago. Also no side effects at all. I even teach zumba classes now. Sometimes only hours after my infusion. It has truly changed my life."
694,Tysabri (natalizumab) for Multiple Sclerosis,10,"My Multiple Sclerosis treatment: 9 years in a nutshell:
Copaxone = no real side effects, no real benefits.
Rebif = craptacular side effects, no real benefits.
Tysabri = no serious side effects (the odd urianary tract infection, drowsy after infusions), ZERO relapses since I started it in April 2012 (previously had been relapsing every six months).
 
Tysabri is AWESOME!"
695,Tysabri (natalizumab) for Multiple Sclerosis,10,"I was diagnosed with MS is 2014 not long after I had optic neuritis in my left eye.  The neuro opthamogist misdiagnosed the optic neuritis as a mini stroke.  So sad too bad but you are blind in your left eye.  It took a hospital stay of a week before a neurologist finally got suspicious and ordered several tests, mostly MRIs and a spinal test before confirmed.  The problem was I was a 68 year old male, very fit from playing tennis 4 days a week and working as a pilot.  I was on two medications, copaxone followed by techfadera .  I failed on both as I had more symptoms and more lesions on the brain.  i am now on tysabri , am positive for the JC virus , monitored but doing tremendous.  A wonder drug.  I prefer quality of life versus quantity."
696,Tysabri (natalizumab) for Multiple Sclerosis,10,"I was diagnosed with RRMS in Nov 2008 (age 16). I started out with Rebif and took that for a 2 years. I found that to be too painful so I stopped taking and medication all together. In May 2012 I tried gilenya, I was on that for about 4 months in which I had 5 relapses in those 4 months. My neuro decided to have me try Tysabri. I have been on it for 3 years and next month it will be 3 years since I have had a relapse. I do feel tired and dizzy when it is hot out though."
